level,n_groups,reps,mean,sd,q05,q95,lo,hi,n_grp_test,baseline,beats_baseline,sd_binom,deff,sd_binom_deff,sd_ratio,spearman_val_test,spearman_p,frac_groups_extreme,phi,n_eff_test
run,1000,110,0.9770443286754912,0.0098457998565526,0.9598599820413052,0.9903831879755056,0.9492063492063492,0.994008388256441,200.0,0.680620959210637,1.0,0.0105897848133354,1.2087648269174438,0.0116428162233319,0.84565449352553,0.3489996122913192,0.0001864298226905,0.9435454545454546,0.8644258309211261,231.36744975202947
job,651,110,0.9660029599329264,0.0179152933326672,0.9390696982201686,0.9889915786894484,0.8854415274463007,0.9947368421052633,130.0,0.6794673295522026,1.0,0.0158941792281498,3.2065957568901835,0.0284616591104883,0.6294535839643058,0.3237968577418119,0.0005592052714122,0.9055944055944056,1.2704911227742004,102.32263545150674
fine,144,150,0.8737738015998127,0.0750977858094361,0.7505991751462175,0.9664428505095431,0.5253296321998612,0.9855491329479767,29.0,0.6868454322753401,1.0,0.0616701865146008,2.481089538656755,0.097139637996851,0.7730910610545058,0.0086777267236149,0.9160640394436336,0.6836781609195403,1.482872260271048,19.556640701269313
family,75,180,0.7237245876026471,0.1385010793852174,0.4557508183306055,0.9004183250606642,0.2429906542056074,0.941832283082889,15.0,0.6339975975287975,0.7277777777777777,0.1154548422261637,3.705929274550765,0.2222596957656607,0.623149774897766,-0.1376102850964126,0.06545361974098,0.5974074074074074,1.439070305287513,10.423396233586475
coarse,22,150,0.5226329649132,0.2313444001311926,0.152435059493883,0.9218099274368998,0.0493482309124767,0.9826166514181152,5.0,0.4829985394657806,0.6466666666666666,0.2233775946236497,2.3442660973842804,0.342013353966539,0.6764192024906323,-0.3529596870972044,9.4176944884468e-06,0.376,1.0726023964743232,4.6615596016148695
