level,n_groups,reps,mean,sd,q05,q95,lo,hi,n_grp_test,baseline,beats_baseline,sd_binom,deff,sd_binom_deff,sd_ratio,spearman_val_test,spearman_p,frac_groups_extreme
run,1000,110,0.9770443286754911,0.009845799856552609,0.9598599820413051,0.9903831879755056,0.9492063492063492,0.994008388256441,200.0,0.680620959210637,1.0,0.010589784813335456,1.2087648269174438,0.011642816223331956,0.84565449352553,0.34899961229131926,0.00018642982269051123,0.9435454545454546
job,651,110,0.9660029599329263,0.01791529333266725,0.9390696982201686,0.9889915786894485,0.8854415274463007,0.9947368421052633,130.0,0.6794673295522026,1.0,0.015894179228149844,3.2065957568901835,0.028461659110488386,0.6294535839643058,0.3237968577418119,0.0005592052714122354,0.9055944055944056
fine,144,150,0.8737738015998127,0.07509778580943616,0.7505991751462175,0.9664428505095431,0.5253296321998612,0.9855491329479767,29.0,0.6868454322753401,1.0,0.06167018651460081,2.481089538656755,0.09713963799685105,0.7730910610545058,0.0086777267236149,0.9160640394436335,0.6836781609195403
family,75,180,0.7237245876026471,0.13850107938521744,0.4557508183306055,0.9004183250606642,0.2429906542056074,0.941832283082889,15.0,0.6339975975287975,0.7277777777777777,0.11545484222616376,3.705929274550765,0.22225969576566074,0.623149774897766,-0.13761028509641268,0.06545361974098,0.5974074074074074
coarse,22,150,0.5226329649132,0.23134440013119265,0.15243505949388303,0.9218099274368998,0.0493482309124767,0.9826166514181152,5.0,0.48299853946578064,0.6466666666666666,0.2233775946236497,2.3442660973842804,0.34201335396653904,0.6764192024906323,-0.3529596870972044,9.417694488446799e-06,0.376
