half_width,n_families_independent,n_families_with_deff
0.3,8.534326153513721,31.627609130870724
0.25,12.289429661059755,45.54375714845383
0.2,19.202233845405868,71.16212054445911
0.15,34.137304614054884,126.5104365234829
0.125,49.15771864423902,182.1750285938153
0.1,76.80893538162347,284.64848217783646
0.075,136.54921845621953,506.0417460939316
0.05,307.2357415264939,1138.5939287113458
0.025,1228.9429661059755,4554.375714845383
