cap,acc
3,0.7027027027027027
3,0.8985507246376812
3,0.8071646341463414
3,0.8509803921568627
3,0.6221498371335505
3,0.42902711323763953
3,0.8369304556354916
3,0.7762803234501348
3,0.6722129783693843
3,0.7936842105263158
3,0.7898550724637681
3,0.8252911813643927
3,0.9115479115479116
3,0.743859649122807
3,0.788135593220339
3,0.6072041166380789
3,0.4669887278582931
3,0.724390243902439
3,0.7744874715261959
3,0.7614678899082569
3,0.7601156069364162
3,0.5644891122278057
3,0.9162995594713657
3,0.5138888888888888
3,0.8907435508345979
3,0.7203389830508474
3,0.4962121212121212
3,0.8047493403693932
3,0.7244201909959073
3,0.9002932551319648
3,0.8
3,0.856093979441997
3,0.9332477535301669
3,0.820054945054945
3,0.8649193548387096
3,0.4864864864864865
3,0.7543859649122807
3,0.812807881773399
3,0.6555555555555556
3,0.8762711864406779
30,0.3595300789953413
30,0.8818210165263486
30,0.7563998374644454
30,0.813198800109081
30,0.6472803347280335
30,0.5556338028169014
30,0.8142655367231638
30,0.8536789297658863
30,0.7175765952545496
30,0.8221331689272503
30,0.7325072886297376
30,0.5227064220183486
30,0.9720650636492221
30,0.9089537223340041
30,0.7263427109974424
30,0.6263237518910741
30,0.4579860328902906
30,0.8041898247114151
30,0.7891891891891892
30,0.7298620382732532
30,0.8374477781997721
30,0.5798358733880422
30,0.958974358974359
30,0.43594527363184077
30,0.8026537095869931
30,0.705824607329843
30,0.3505813953488372
30,0.7670498084291187
30,0.586248492159228
30,0.9518662043646747
30,0.8979591836734694
30,0.8571717580416751
30,0.801091668004495
30,0.7149131181974413
30,0.8435498627630376
30,0.5877712031558185
30,0.75
30,0.7491525423728813
30,0.5474528960223308
30,0.8682858477347034
10,0.4176500769625449
10,0.8973121984838043
10,0.7608799617407939
10,0.8402734617775015
10,0.6511156186612576
10,0.5076195480819758
10,0.8698999230177059
10,0.8181011535048802
10,0.7130933750652061
10,0.7541750167000668
10,0.7182213629772837
10,0.6095571095571095
10,0.9468488990129081
10,0.9003436426116839
10,0.7427055702917772
10,0.5971910112359551
10,0.4977420973406924
10,0.7472984206151289
10,0.7815362931642001
10,0.7395626242544732
10,0.8147818343722173
10,0.573474801061008
10,0.9528301886792453
10,0.504424778761062
10,0.8495192307692307
10,0.7079970652971387
10,0.43108108108108106
10,0.7595993322203672
10,0.6373823397579561
10,0.9413420929141249
10,0.8708264915161467
10,0.8866305329719963
10,0.8609190727938186
10,0.7170686456400742
10,0.8405029781601588
10,0.5655172413793104
10,0.7533081285444234
10,0.8014128728414442
10,0.5768566493955095
10,0.8805584281282316
