acc_val,acc_test,acc_test_groupmean,n_grp_train,n_grp_val,n_grp_test,n_win_train,n_win_test,level,rep
0.9712683952347583,0.952463768115942,0.9230769230769231,391,130,130,4894,1725,job,5000
0.9790076335877863,0.9677835051546392,0.9393269230769231,391,130,130,4922,1552,job,5001
0.9740437158469946,0.975975975975976,0.9442307692307692,391,130,130,4917,1665,job,5002
0.9788135593220338,0.9760479041916168,0.9529807692307692,391,130,130,4655,1503,job,5003
0.9766016713091922,0.9656381486676017,0.9461538461538461,391,130,130,4825,1426,job,5004
0.9765155652648826,0.955952380952381,0.9498717948717949,391,130,130,4535,1680,job,5005
0.9179655455291222,0.9393599101628298,0.9538598901098901,391,130,130,5046,1781,job,5006
0.9884575026232949,0.9817197020988491,0.9342857142857143,391,130,130,4663,1477,job,5007
0.9805335255948089,0.9462290502793296,0.9355769230769231,391,130,130,5227,1432,job,5008
0.946865037194474,0.944233206590621,0.9420192307692308,391,130,130,4586,1578,job,5009
0.8882521489971347,0.9746906636670416,0.9271474358974359,391,130,130,4872,1778,job,5010
0.9900398406374502,0.9879735417919423,0.956923076923077,391,130,130,4877,1663,job,5011
0.9840153452685422,0.9882484611080022,0.9292307692307692,391,130,130,4695,1787,job,5012
0.9556769884638737,0.9646662927650028,0.9251923076923078,391,130,130,4616,1783,job,5013
0.9865278628291488,0.963758389261745,0.9238461538461538,391,130,130,4923,1490,job,5014
0.9882839421088904,0.9866369710467706,0.9653846153846154,391,130,130,5248,1347,job,5015
0.9752367079388201,0.9717291255752795,0.9184615384615386,391,130,130,5152,1521,job,5016
0.9504889975550123,0.9688051795173631,0.9353846153846154,391,130,130,4711,1699,job,5017
0.9394495412844037,0.9735349716446124,0.9360576923076923,391,130,130,4824,1587,job,5018
0.9906943450250537,0.9926174496644296,0.9752884615384615,391,130,130,5159,1490,job,5019
0.979002624671916,0.9747847478474785,0.916923076923077,391,130,130,4896,1626,job,5020
0.9524727039177906,0.9531568228105907,0.9384615384615385,391,130,130,5016,1473,job,5021
0.9512804497189257,0.9826782145236509,0.9592307692307692,391,130,130,4944,1501,job,5022
0.9511665762344005,0.9673758865248226,0.9524679487179487,391,130,130,4793,1410,job,5023
0.9578713968957872,0.958223162347964,0.9309615384615385,391,130,130,4351,1891,job,5024
0.9224069675376089,0.9688940092165899,0.9050961538461538,391,130,130,5047,1736,job,5025
0.9526627218934911,0.9783505154639175,0.943076923076923,391,130,130,4585,1940,job,5026
0.9334353481254782,0.9615589962626802,0.9470833333333334,391,130,130,4866,1873,job,5027
0.9661870503597122,0.9571583514099783,0.9336538461538462,391,130,130,4812,1844,job,5028
0.9678742310321258,0.9439754412893323,0.9,391,130,130,5280,1303,job,5029
0.9805986696230599,0.9497334348819497,0.9320512820512821,391,130,130,4929,1313,job,5030
0.9834710743801653,0.9388322520852641,0.8769230769230769,391,130,130,5152,1079,job,5031
0.9623588456712673,0.9848812095032398,0.9514423076923076,391,130,130,4600,1852,job,5032
0.9337572866984631,0.9671292914536158,0.9623397435897436,391,130,130,4790,1369,job,5033
0.9339095068632435,0.9439446366782007,0.917948717948718,391,130,130,4634,1445,job,5034
0.9668789808917198,0.9835953520164047,0.933076923076923,391,130,130,5013,1463,job,5035
0.9821059876118375,0.9928571428571429,0.9530769230769232,391,130,130,4913,1680,job,5036
0.9614678899082569,0.9688328912466844,0.9492307692307693,391,130,130,4903,1508,job,5037
0.9447852760736196,0.9561068702290076,0.9309935897435898,391,130,130,4844,1572,job,5038
0.9657971014492753,0.9700879765395894,0.9278434065934067,391,130,130,4616,1705,job,5039
0.9708114419147694,0.9489872468117029,0.9578525641025641,391,130,130,5000,1333,job,5040
0.9416785206258891,0.959727385377943,0.9303846153846154,391,130,130,4323,1614,job,5041
0.9672727272727273,0.970807453416149,0.9375961538461539,391,130,130,5061,1610,job,5042
0.9639278557114228,0.9807909604519774,0.9561538461538461,391,130,130,4779,1770,job,5043
0.9819004524886877,0.8854415274463007,0.9273397435897437,391,130,130,4602,1676,job,5044
0.9167249825052485,0.97602523659306,0.9725000000000001,391,130,130,5032,1585,job,5045
0.986682808716707,0.9590714722052535,0.9545192307692308,391,130,130,4757,1637,job,5046
0.976536312849162,0.9793438639125152,0.9400000000000001,391,130,130,4610,1646,job,5047
0.9715909090909091,0.9620318111852232,0.9574999999999999,391,130,130,4689,1949,job,5048
0.9432485322896281,0.9574193548387097,0.9639423076923077,391,130,130,4963,1550,job,5049
0.9778858911985847,0.9849211788896505,0.9623076923076924,391,130,130,4326,1459,job,5050
0.9687344913151364,0.9723294723294723,0.9475000000000001,391,130,130,4477,1554,job,5051
0.976891969959561,0.9610849056603774,0.9285164835164835,391,130,130,4619,1696,job,5052
0.9669669669669669,0.9457406402604449,0.9371153846153847,391,130,130,4538,1843,job,5053
0.9747952110901071,0.9624252775405636,0.9089743589743589,391,130,130,5288,1171,job,5054
0.9701492537313433,0.9822718319107026,0.9469230769230769,391,130,130,4982,1523,job,5055
0.9400269541778976,0.9586583463338534,0.941025641025641,391,130,130,5280,1282,job,5056
0.9663629992992292,0.9587628865979382,0.8935576923076922,391,130,130,5261,1358,job,5057
0.9746575342465753,0.9832551908908238,0.9530769230769232,391,130,130,5093,1493,job,5058
0.9842171717171717,0.986101919258769,0.9253846153846155,391,130,130,4951,1511,job,5059
0.9453333333333334,0.9862475442043221,0.9484615384615386,391,130,130,5019,1527,job,5060
0.9784110535405872,0.9801980198019802,0.9342307692307692,391,130,130,4868,2020,job,5061
0.9792,0.9794520547945206,0.9462637362637363,391,130,130,4565,1606,job,5062
0.9226229508196722,0.9428223844282239,0.9364423076923077,391,130,130,4877,1644,job,5063
0.9741119807344973,0.9583613163196776,0.9176923076923077,391,130,130,4896,1489,job,5064
0.9718586387434555,0.959837019790454,0.9123076923076923,391,130,130,4800,1718,job,5065
0.9621993127147767,0.9774386197743862,0.9459935897435899,391,130,130,4793,1507,job,5066
0.9635193133047211,0.9814148681055156,0.9623076923076923,391,130,130,4980,1668,job,5067
