family,cls,mean_score,n,cond
ddp_7b,training,1.0,42,hz2_w64
fsdp_tp_70b,training,0.9984559193928142,42,hz2_w64
fsdp_tp_32b,training,0.9988231555968528,42,hz2_w64
pp_train_70b,training,0.9956151932124163,42,hz2_w64
moe_train,training,0.9093568815628463,42,hz2_w64
diloco_13b,training,0.6443072095559425,42,hz2_w64
gradacc_32b,training,0.18544192995803707,42,hz2_w64
pp_serve_70b,serving,0.5483125754170358,42,hz2_w64
pp_serve_32b,serving,0.0030061046022970047,42,hz2_w64
moe_serve,serving,0.764279542669792,42,hz2_w64
disagg_70b,serving,5.451421514133609e-05,42,hz2_w64
coloc_70b,serving,0.11093781334901646,42,hz2_w64
ddp_7b,training,1.0,42,hz2_w32
fsdp_tp_70b,training,0.9092582105815246,42,hz2_w32
fsdp_tp_32b,training,0.16890393786243169,42,hz2_w32
pp_train_70b,training,0.9374123905240401,42,hz2_w32
moe_train,training,0.9633165003739007,42,hz2_w32
diloco_13b,training,0.6665146124678867,42,hz2_w32
gradacc_32b,training,0.9999997469068491,42,hz2_w32
pp_serve_70b,serving,0.0021958776592274623,42,hz2_w32
pp_serve_32b,serving,0.8620134635645181,42,hz2_w32
moe_serve,serving,0.9608829650418662,42,hz2_w32
disagg_70b,serving,0.29163173616674753,42,hz2_w32
coloc_70b,serving,7.960881803828907e-06,42,hz2_w32
ddp_7b,training,1.0,42,hz5_w64
fsdp_tp_70b,training,0.9966105798715426,42,hz5_w64
fsdp_tp_32b,training,0.9996228516140248,42,hz5_w64
pp_train_70b,training,0.9996200467834202,42,hz5_w64
moe_train,training,0.6921418933335465,42,hz5_w64
diloco_13b,training,0.6451525769956227,42,hz5_w64
gradacc_32b,training,0.12972469088321445,42,hz5_w64
pp_serve_70b,serving,0.4788393024986468,42,hz5_w64
pp_serve_32b,serving,0.003114613418045166,42,hz5_w64
moe_serve,serving,0.8499531522165631,42,hz5_w64
disagg_70b,serving,6.974029059544822e-05,42,hz5_w64
coloc_70b,serving,0.0696152442986804,42,hz5_w64
ddp_7b,training,9.349166903843511e-11,42,hz5_w32
fsdp_tp_70b,training,0.9913971906297784,42,hz5_w32
fsdp_tp_32b,training,0.8481750916283711,42,hz5_w32
pp_train_70b,training,0.9933360762842951,42,hz5_w32
moe_train,training,0.008730998595505818,42,hz5_w32
diloco_13b,training,0.6428238817693898,42,hz5_w32
gradacc_32b,training,0.9999887689935211,42,hz5_w32
pp_serve_70b,serving,0.16391601791426014,42,hz5_w32
pp_serve_32b,serving,0.7938400391511774,42,hz5_w32
moe_serve,serving,0.9993087284885657,42,hz5_w32
disagg_70b,serving,0.021897868374401535,42,hz5_w32
coloc_70b,serving,0.002140650015632157,42,hz5_w32
ddp_7b,training,6.161798535476929e-06,42,hz10_w64
fsdp_tp_70b,training,0.9999952884503099,42,hz10_w64
fsdp_tp_32b,training,0.999778993909189,42,hz10_w64
pp_train_70b,training,0.9995624710049914,42,hz10_w64
moe_train,training,0.531865080856296,42,hz10_w64
diloco_13b,training,0.6433120354831261,42,hz10_w64
gradacc_32b,training,0.9815849821851037,42,hz10_w64
pp_serve_70b,serving,0.4070993817624017,42,hz10_w64
pp_serve_32b,serving,0.001291689068807149,42,hz10_w64
moe_serve,serving,0.9504172922387506,42,hz10_w64
disagg_70b,serving,3.826901456478547e-05,42,hz10_w64
coloc_70b,serving,0.07644643770409065,42,hz10_w64
ddp_7b,training,6.763090528586539e-14,42,hz10_w32
fsdp_tp_70b,training,0.9983959093041964,42,hz10_w32
fsdp_tp_32b,training,0.9965743664814186,42,hz10_w32
pp_train_70b,training,0.9972072346895262,42,hz10_w32
moe_train,training,0.0017695204391976766,42,hz10_w32
diloco_13b,training,0.6423006465521718,42,hz10_w32
gradacc_32b,training,0.9994108403796856,42,hz10_w32
pp_serve_70b,serving,0.16996049100423738,42,hz10_w32
pp_serve_32b,serving,0.6132971745553165,42,hz10_w32
moe_serve,serving,0.9866600276161529,42,hz10_w32
disagg_70b,serving,0.007089752018662944,42,hz10_w32
coloc_70b,serving,0.0034101913027048745,42,hz10_w32
ddp_7b,training,0.999982770187305,42,hz20_w64
fsdp_tp_70b,training,0.9999223353282687,42,hz20_w64
fsdp_tp_32b,training,0.999845799994844,42,hz20_w64
pp_train_70b,training,0.9997670886332598,42,hz20_w64
moe_train,training,0.7831208044008457,42,hz20_w64
diloco_13b,training,0.6433564765283086,42,hz20_w64
gradacc_32b,training,0.9999995409184445,42,hz20_w64
pp_serve_70b,serving,0.26002795417521796,42,hz20_w64
pp_serve_32b,serving,0.0024284632337629774,42,hz20_w64
moe_serve,serving,0.8840418425863054,42,hz20_w64
disagg_70b,serving,9.139579360267505e-05,42,hz20_w64
coloc_70b,serving,0.044337457749608976,42,hz20_w64
ddp_7b,training,0.9909240193601928,42,hz20_w32
fsdp_tp_70b,training,0.9999258291274696,42,hz20_w32
fsdp_tp_32b,training,0.9984439936820957,42,hz20_w32
pp_train_70b,training,0.9987097039169822,42,hz20_w32
moe_train,training,0.10151397764698174,42,hz20_w32
diloco_13b,training,0.6333340381952501,42,hz20_w32
gradacc_32b,training,0.9956473059095432,42,hz20_w32
pp_serve_70b,serving,0.26413968807691063,42,hz20_w32
pp_serve_32b,serving,0.1705966268508292,42,hz20_w32
moe_serve,serving,0.786796320140232,42,hz20_w32
disagg_70b,serving,0.0017852517553039108,42,hz20_w32
coloc_70b,serving,0.012449126140046694,42,hz20_w32
ddp_7b,training,5.7073344160100844e-40,42,hz50_w64
fsdp_tp_70b,training,0.9999614369082078,42,hz50_w64
